State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,9/29/2015,69,Moderate,PM2.5,06-073-1014,11
California,San Diego,9/30/2015,108,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,10/1/2015,66,Moderate,PM2.5,06-073-1014,11
California,San Diego,10/2/2015,57,Moderate,PM2.5,06-073-1014,11
California,San Diego,10/3/2015,64,Moderate,Ozone,06-073-1006,14
California,San Diego,10/4/2015,42,Good,Ozone,06-073-1001,12
California,San Diego,10/5/2015,42,Good,Ozone,06-073-1008,12
California,San Diego,10/6/2015,60,Moderate,PM2.5,06-073-1014,12
California,San Diego,10/7/2015,74,Moderate,Ozone,06-073-1006,12
California,San Diego,10/8/2015,87,Moderate,Ozone,06-073-1201,11
California,San Diego,10/9/2015,126,Unhealthy for Sensitive Groups,Ozone,06-073-1001,13
California,San Diego,10/10/2015,80,Moderate,Ozone,06-073-1008,11
California,San Diego,10/11/2015,93,Moderate,Ozone,06-073-1008,11
California,San Diego,10/12/2015,73,Moderate,PM2.5,06-073-1019,11
California,San Diego,10/13/2015,60,Moderate,PM2.5,06-073-1014,10
California,San Diego,10/14/2015,57,Moderate,PM2.5,06-073-1014,10
California,San Diego,10/15/2015,38,Good,PM2.5,06-073-1006,12
California,San Diego,10/16/2015,39,Good,PM2.5,06-073-1008,11
California,San Diego,10/17/2015,54,Moderate,PM2.5,06-073-1008,11
California,San Diego,10/18/2015,41,Good,Ozone,06-073-1008,11
California,San Diego,10/19/2015,47,Good,PM2.5,06-073-1019,11
California,San Diego,10/20/2015,49,Good,Ozone,06-073-1008,11
California,San Diego,10/21/2015,61,Moderate,PM2.5,06-073-1014,11
California,San Diego,10/22/2015,63,Moderate,PM2.5,06-073-1014,11
California,San Diego,10/23/2015,71,Moderate,Ozone,06-073-1008,10
California,San Diego,10/24/2015,74,Moderate,Ozone,06-073-1008,11
California,San Diego,10/25/2015,62,Moderate,PM2.5,06-073-1019,11
California,San Diego,10/26/2015,80,Moderate,Ozone,06-073-1008,11
California,San Diego,10/27/2015,112,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,10/28/2015,82,Moderate,PM2.5,06-073-1014,12
California,San Diego,10/29/2015,53,Moderate,PM2.5,06-073-1010,12
California,San Diego,10/30/2015,66,Moderate,PM2.5,06-073-1019,12
California,San Diego,10/31/2015,64,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/1/2015,97,Moderate,Ozone,06-073-1014,12
California,San Diego,11/2/2015,56,Moderate,PM2.5,06-073-1019,14
California,San Diego,11/3/2015,41,Good,Ozone,06-073-1001,12
California,San Diego,11/4/2015,43,Good,PM2.5,06-073-1019,12
California,San Diego,11/5/2015,55,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/6/2015,60,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/7/2015,62,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/8/2015,61,Moderate,Ozone,06-073-1006,14
California,San Diego,11/9/2015,61,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/10/2015,70,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/11/2015,77,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/12/2015,54,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/13/2015,62,Moderate,PM2.5,06-073-1019,12
